ESTUDIO;ENTREV;REGISTRO;CUES;TIPO_TEL;CCAA;PROV;MUN;TAMUNI;CAPITAL;SEXO;EDAD;A0;NACIONALIDAD;P1;P2;P3_1;P3_2;P3_3;P3_4;P4;P5_1;P5_2;P5_3;P6_1;P6_2;P6_3;P6_4;P6_5;P6_6;P6_7;P6_9;P7_1;P7_2;P7_3;P7_4;P7_5;P8;P8A_1;P8A_2;P8A_18;P8A_44;P8A_81;P8A_21;P8A_4;P8A_80;P8A_82;P8A_83;P8A_84;P8A_85;P8A_86;P8A_87;P8A_88;P8A_89;P8A_92;P8A_91;P8A_17;P8A_95;P8A_98;P8A_99;P9;P9A_1;P9A_2;P9A_18;P9A_44;P9A_81;P9A_21;P9A_4;P9A_80;P9A_82;P9A_83;P9A_84;P9A_85;P9A_86;P9A_87;P9A_88;P9A_89;P9A_92;P9A_91;P9A_17;P9A_95;P9A_98;P9A_99;P10;P10A_1;P10A_2;P10A_18;P10A_44;P10A_81;P10A_21;P10A_4;P10A_80;P10A_82;P10A_83;P10A_84;P10A_85;P10A_86;P10A_87;P10A_88;P10A_89;P10A_92;P10A_91;P10A_17;P10A_95;P10A_98;P10A_99;P11_1;P11_2;P11_3;P12;P12A;P12B;PARTICIPACIONA;RECUVOTOA;RECUVOTOAR;RVAUTO;RVAUTOR;FIDELID;DUDAPART;P15A_1;P15A_2;P15ACOM;P16_1;P16_2;DECISVOTO;CAMBIOVOTO;ABSTENCION;P19A;P19B_1;P19B_2;P19C;P19D;ESCIDEOL;ESCUELA;NIVELESTENTREV;ESTUDIOS;RELIGION;FRECUENCIARELI;ESTADOCIVIL;SITLAB;CNO11;RELALAB;CLASESOCIAL;CLASESUB;PESO;IA_I501;IA_I502;IA_I503;IA_I504;IA_I505;IA_I506;IA_I507;IA_I508;IA_I509;IA_I510;IA_I511;IA_I512;IA_I513;IA_I514;IA_I515;IA_I516;IA_I517;IA_I518;IA_I519;IA_I520;IA_I521;IA_I522;IA_I523;IA_I524;IA_I525;IA_I526;IA_I528;IA_I529;IA_I530;IA_I531;IA_I532;IA_I533;IA_I534;IA_I535;IA_I536;IA_I537;IA_I538;IA_I539;IA_I540;IA_I541;IA_I542;IA_I543;IA_OBS0;IA_OBS1;IA_OBS2;IA_E1_DIA;IA_E1_MES;IA_E1_ANYO;IA_E2;IA_E3;IA_E4;IA_VALIDA;IA_APLAZADA;IA_MODIFICADA;IA_SUPERVISADA;IA_C2;IA_C2A;IA_C2B_1;IA_C2B_2;IA_C2B_3;IA_C2B_4;IA_C2B_5;IA_C2B_6;IA_C2B_7;IA_C2B_8;IA_C2B_9;IA_C2B_10;IA_C2B_11;IA_C2B_12;IA_C2B_13;IA_C2B_14;IA_C2B_15;IA_C2B_16;IA_C2B_17;IA_C2B_18;IA_C2B_19;IA_C2B_20;IA_C2B_21;IA_C2B_22;IA_C2B_23;IA_C2B_24;IA_C2B_25;IA_C3;IA_C4;CNO11R;PESOPROV
3352;0;3389;1;2;8;5;0;2;3;2;77;1;1;2;1;3;3;1;1;98;3;1;95;2;2;2;2;2;2;1;2;1;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;4;1;1;6;1;99;99;99;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;3;4;3;1;5;3;7;1;1;6;5;1,01955;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0; ; ; ;16;2;22;3;13;1;1;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;14;1,41046
3352;0;3901;2;2;8;5;0;2;3;1;64;1;1;3;3;4;4;4;4;98;3;2;6;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;4;1;4;0;1;2;2;2;2;1;6;0;0;0;6;7;1;1;0;0;0;0;0;0;1;3;4;3;2;1;1;2;10;1;4;3;,74741;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0; ; ; ;16;2;22;3;12;2;1;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;12;1,02588
3352;0;3909;3;2;8;5;0;2;3;1;79;1;2;4;3;4;4;4;4;83;3;99;99;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;3;7;1;4;0;5;0;0;97;97;0;0;0;0;0;0;0;0;0;2;2;1;6;2;0;99;3;12;6;9;0;5;2;1;1;97;6;,93359;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ;16;2;22;3;18;2;1;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;12;1,50392
3352;0;5365;4;2;8;5;0;2;3;1;51;1;1;2;3;4;4;4;4;98;3;99;99;2;2;2;2;2;2;1;2;2;1;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;4;0;1;80;80;80;80;3;6;0;0;0;7;8;2;1;0;0;0;0;0;0;5;3;11;6;2;1;1;1;2;1;2;1;,77446;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0; ; ; ;16;2;22;3;11;3;1;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;,92341
3352;0;8450;5;1;8;5;0;1;3;1;66;1;1;3;3;4;3;3;4;98;3;95;99;2;2;2;2;2;2;1;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;7;1;4;0;1;96;96;96;96;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;98;3;4;3;1;3;1;2;7;4;4;3;1,14712;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;1;0;49;8; ; ; ;19;2;22;6;13;2;1;1;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;12;1,29614
3352;0;1803;6;1;8;5;0;1;3;1;42;1;1;2;2;3;3;2;3;98;2;4;95;1;2;2;2;1;2;2;2;2;2;1;2;2;1;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;4;1;2;4;1;99;99;99;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;8;6;5;0;1;1;3;4;3;2;1,20982;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;2;0;1;0;5;0; ; ; ;14;2;22;1;16;4;1;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;,73027
3352;0;428;7;1;8;5;0;2;3;1;39;1;1;3;3;4;4;4;4;78;3;95;99;2;2;2;2;2;2;1;2;2;2;1;2;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;4;4;1;4;0;5;0;0;97;97;0;0;0;0;0;0;0;0;0;2;1;5;1;2;0;98;3;4;3;5;0;2;1;7;4;96;6;,98462;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0; ; ; ;14;2;22;1;15;2;1;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7;,84734
3352;0;831;8;1;8;5;0;2;3;2;64;1;1;2;2;4;1;4;4;1;3;5;99;2;1;2;2;1;2;2;2;1;2;1;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;2;0;0;1;2;2;2;2;1;6;0;0;0;6;7;1;1;0;0;0;0;0;0;1;3;4;3;1;5;1;4;5;1;3;2;,75866;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;3;0; ; ; ;14;2;22;1;12;2;1;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;16;1,05007
3352;0;1345;9;1;8;5;0;2;3;2;76;1;2;2;1;2;2;2;9;10;6;3;1;1;2;2;2;1;2;2;2;1;1;2;1;1;1;1;1;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;7;1;8;0;1;1;1;1;1;1;6;0;0;0;2;1;2;1;0;0;0;0;0;0;10;3;6;4;1;5;3;2;1;1;2;1;1,01955;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;7;0;0;1;0;0;0;0;0;1;0;123;3;0;4;0;47;4; ; ; ;18;2;22;5;34;4;1;0;0;1;6;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;12;1,41046
3352;0;3490;10;2;8;5;0;2;3;1;35;1;1;3;3;3;3;3;3;98;4;5;3;2;2;2;2;1;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;3;1;3;6;4;0;0;97;97;0;0;0;0;0;0;0;0;0;4;0;0;0;0;4;1;3;2;2;6;0;2;1;6;6;12;5;,98462;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;8;1;0;0;0;14;0; ; ; ;16;2;22;3;10;4;1;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;,84734
